Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Mbps (Media de bajada),Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,4,Buenos Aires,325908,2767247,1499149,129910,72451,4794665,111.0,78.94,26.72
2022,4,Capital Federal,138753,1238196,138548,4603,31826,1551926,182.86,122.73,50.35
2022,4,Catamarca,8952,10998,47337,1379,2243,70909,83.33,65.77,16.73
2022,4,Chaco,24582,61265,47285,7957,2574,143663,104.02,43.62,11.66
2022,4,Chubut,45450,73923,9815,30721,8850,168759,15.92,85.57,26.23
2022,4,Córdoba,152265,456947,367393,61631,11424,1049660,108.77,89.03,27.26
2022,4,Corrientes,34038,80283,26752,9082,5298,155453,94.72,51.64,13.6
2022,4,Entre Ríos,55507,135746,40798,26414,12509,270974,87.47,64.01,19.14
2022,4,Formosa,13735,17068,13118,17692,227,61840,72.03,39.41,10.03
2022,4,Jujuy,17880,52390,42626,4067,1255,118218,39.32,58.46,14.95
2022,4,La Pampa,7785,60566,24552,19995,1266,114164,19.1,94.8,31.23
2022,4,La Rioja,6120,54387,19328,6395,32,86262,61.0,79.86,21.26
2022,4,Mendoza,37655,77814,147080,27607,1948,292104,38.76,51.36,14.33
2022,4,Misiones,33204,87202,46885,11075,7903,186269,91.24,52.85,14.39
2022,4,Neuquén,28609,72679,31567,23815,3510,160180,95.37,78.67,23.41
2022,4,Río Negro,34043,48401,43958,16277,19413,162092,75.31,68.42,21.04
2022,4,Salta,36939,97023,53470,11884,6544,205860,75.93,57.96,14.04
2022,4,San Juan,38570,22913,12491,21912,7940,103826,16.39,50.88,12.96
2022,4,San Luis,6283,43460,3409,81557,511,135220,30.67,90.27,25.83
2022,4,Santa Cruz,9702,23876,12217,3746,662,50203,14.33,43.53,12.95
2022,4,Santa Fe,163621,412157,248558,44113,19242,887691,90.3,78.4,24.65
2022,4,Santiago Del Estero,13577,80955,15117,6911,2934,119494,34.4,48.05,11.92
2022,4,Tierra Del Fuego,12754,41293,405,157,651,55260,13.48,101.44,30.07
2022,4,Tucumán,69441,20668,168717,4069,527,263422,88.33,61.04,15.12
2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,70.19,78.11,26.37
2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,101.05,122.28,50.22
2022,3,Catamarca,10010,10495,46224,1329,2235,70293,60.99,65.33,16.62
2022,3,Chaco,27164,61800,44645,8178,2359,144146,53.21,43.86,11.72
2022,3,Chubut,45377,72212,9574,29784,8831,165778,15.57,84.38,25.86
2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,56.32,88.31,27.04
2022,3,Corrientes,36508,77140,18619,7256,5323,144846,45.07,48.21,12.69
2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,42.49,63.67,19.04
2022,3,Formosa,14470,25880,11041,16935,212,68538,30.35,43.76,11.14
2022,3,Jujuy,19257,52978,40172,4033,2383,118823,32.43,58.91,15.06
2022,3,La Pampa,7796,60078,23551,20216,4451,116092,18.1,96.59,31.82
2022,3,La Rioja,6842,53899,19697,6395,31,86864,44.3,80.66,21.47
2022,3,Mendoza,37659,78858,142615,27625,2766,289523,34.16,51.03,14.24
2022,3,Misiones,35513,88902,39046,11074,7622,182157,49.3,51.82,14.11
2022,3,Neuquén,29352,75815,29396,27482,1116,163161,47.81,80.37,23.92
2022,3,Río Negro,35552,48260,41017,16760,18969,160558,34.13,67.98,20.91
2022,3,Salta,40006,96984,50254,10082,7215,204541,41.33,57.76,13.99
2022,3,San Juan,38570,22723,12328,21860,7918,103399,15.84,50.8,12.94
2022,3,San Luis,6860,29363,248,70614,14985,122070,19.33,81.74,23.39
2022,3,Santa Cruz,10170,24047,10815,3896,582,49510,12.6,43.19,12.85
2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,45.15,78.55,24.7
2022,3,Santiago Del Estero,15385,80937,13170,6618,2922,119032,17.69,47.98,11.91
2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896,11.01,99.51,29.5
2022,3,Tucumán,77738,18518,162345,3997,519,263117,53.36,61.14,15.14
2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,65.5,77.58,26.12927127832741
2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,93.97,121.31,49.87356125626109
2022,2,Catamarca,11928,9430,42087,1329,2234,67008,56.56,62.4,15.871790195247083
2022,2,Chaco,29552,61284,42194,8178,2356,143564,50.61,43.79,11.70254390369554
2022,2,Chubut,45377,69242,9574,29784,8828,162805,14.91,83.19,25.499919336270644
2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,53.51,87.48,26.781590841133493
2022,2,Corrientes,38468,75769,18181,7256,5323,144997,43.31,48.35,12.732146965383649
2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,40.03,63.9,19.10468595065942
2022,2,Formosa,15397,25487,9875,16910,212,67881,28.47,43.42,11.049814591140091
2022,2,Jujuy,20303,54495,34184,3955,2377,115314,29.39,57.32,14.656913524540675
2022,2,La Pampa,7796,59273,22994,20200,1264,111527,16.07,92.98,30.632721559665782
2022,2,La Rioja,7759,52656,19189,6395,31,86030,43.28,80.14,21.331409216914373
2022,2,Mendoza,37663,77504,135504,26964,1927,279562,29.72,49.39,13.782233784570575
2022,2,Misiones,37208,89260,33649,11074,7622,178813,46.23,51.0,13.89002818196789
2022,2,Neuquén,29749,74905,28824,27371,1119,161968,46.53,80.02,23.81745752817118
2022,2,Río Negro,36050,47040,40946,16760,18968,159764,33.26,67.85,20.8675435273834
2022,2,Salta,42665,96178,47076,10068,7190,203177,38.77,57.54,13.936010557448652
2022,2,San Juan,38570,19734,12328,21859,7916,100407,14.44,49.46,12.597912455631214
2022,2,San Luis,6860,29034,248,70614,14985,121741,19.32,81.76,23.396972678771853
2022,2,Santa Cruz,10170,23725,10815,3896,579,49185,11.81,43.15,12.83962283852644
2022,2,Santa Fe,198492,428233,189503,43081,19550,878859,42.01,77.9,24.495906799164608
2022,2,Santiago Del Estero,16561,80338,11605,6618,2922,118044,16.34,47.7,11.836737968128928
2022,2,Tierra Del Fuego,12754,39837,403,125,651,53770,10.97,99.86,29.60495526496903
2022,2,Tucumán,85893,15327,148823,3997,487,254527,50.09,59.31,14.6914572899128
2022,1,Buenos Aires,392045,2728865,1242121,125521,66872,4555424,62.51,76.07814661157262,25.56303015202836
2022,1,Capital Federal,102290,1217225,62308,5784,29934,1417541,88.22,111.79786269174652,46.01434762144353
2022,1,Catamarca,14181,15517,29118,1328,2234,62378,51.22,58.20635083561171,14.805619574995312
2022,1,Chaco,32391,64546,36662,8164,2356,144119,45.84,44.05948009941883,11.775342040436144
2022,1,Chubut,44133,66667,9184,30592,21052,171628,13.4,88.05274093835774,26.9887596631044
2022,1,Córdoba,195610,501799,235838,60843,9713,1003803,49.89,85.75745356313551,26.255262218351167
2022,1,Corrientes,40462,79093,10875,6774,5374,142578,38.11,47.644635141502334,12.545281287312791
2022,1,Entre Ríos,67159,138986,23091,26098,12592,267926,35.59,63.70090347123158,19.04540527092108
2022,1,Formosa,16397,15927,5146,16876,202,54548,30.28,34.955686995751336,8.896427435598431
2022,1,Jujuy,21307,60616,25949,4662,3975,116509,27.69,58.06462866426784,14.847641828629394
2022,1,La Pampa,8003,58978,21739,19903,1109,109732,14.84,91.66332531408716,30.20041503140257
2022,1,La Rioja,9103,59228,9546,6395,31,84303,41.37,78.77459866564503,20.96917417226944
2022,1,Mendoza,49464,74145,123228,26969,1379,275185,26.2,48.73524093558345,13.5994765497552
2022,1,Misiones,39147,91752,25178,7807,7624,171508,41.87,49.04334199772953,13.357539336702546
2022,1,Neuquén,28443,73200,24193,23098,745,149679,43.05,74.17305509992715,22.07746042609429
2022,1,Río Negro,38662,45366,38037,16815,18494,157374,31.09,67.03640754987029,20.61822984084394
2022,1,Salta,44714,98667,40994,5950,7190,197515,36.71,56.10759340849759,13.588166053353753
2022,1,San Juan,34038,14449,11294,20723,7674,88178,11.99,43.54598160933163,11.092116468606635
2022,1,San Luis,7987,11296,31,71809,28721,119844,20.95,80.72423060601774,23.101656231687382
2022,1,Santa Cruz,10537,23420,10766,3974,405,49102,10.89,43.33842311053054,12.894297328809571
2022,1,Santa Fe,213486,444609,146552,45261,20571,870479,38.89,77.30458474758402,24.30739699893441
2022,1,Santiago Del Estero,18118,87979,1093,6349,2922,116461,14.5,47.17273839324049,11.706882132029495
2022,1,Tierra Del Fuego,13031,38700,416,124,340,52611,10.73,98.29055038672794,29.13865104068589
2022,1,Tucumán,92532,62396,86174,3995,487,245584,47.24,57.39003227231194,14.215533334298076
2021,4,Buenos Aires,426325,2706506,1176024,126887,73415,4509157,60.2091238315554,75.66410602338475,25.36251411440295
2021,4,Capital Federal,111360,1205128,60005,5679,29947,1412119,82.94995496542248,111.27002612891737,45.848510714562856
2021,4,Catamarca,16385,13858,25100,1512,2235,59090,46.380057758939095,55.2526999859741,14.054223759225389
2021,4,Chaco,35548,63145,34688,8005,2359,143745,42.342637514688604,44.04856389025934,11.772399458164148
2021,4,Chubut,46361,57412,9655,28041,18839,160308,9.082660638555469,82.57340063871433,25.309325144656967
2021,4,Córdoba,212011,487489,217214,61277,8779,986770,46.36090745799214,84.50941853046088,25.873153715537683
2021,4,Corrientes,42523,71183,10138,6778,5290,135912,35.772659194287044,45.51016102946347,11.983198552620909
2021,4,Entre Ríos,70459,133387,23452,25022,12726,265046,33.31712584167462,63.15536143616578,18.88227767661483
2021,4,Formosa,17211,15111,5151,16018,172,53663,28.75764894769421,34.4545746388443,8.768865242200624
2021,4,Jujuy,22330,60511,24156,2927,3991,113915,27.14434303841708,56.921070514870486,14.555241944242493
2021,4,La Pampa,8175,58000,20192,19286,1354,107007,13.853882842854397,89.56734270241313,29.509892061530994
2021,4,La Rioja,10387,56651,9446,6613,31,83128,39.69594513667998,77.9234900964576,20.74238205028396
2021,4,Mendoza,59842,71553,109667,24666,1859,267587,22.23158340100516,47.50531709031775,13.25625900699059
2021,4,Misiones,41778,92068,22035,7649,7602,171132,38.90334925090757,49.06462073058497,13.363319043268442
2021,4,Neuquén,29175,72761,23253,21531,746,147466,40.092530111167584,73.30016254020012,21.817563119077384
2021,4,Río Negro,42037,44495,32212,16558,18451,153753,27.20317045489215,65.69489961160652,20.205613568445425
2021,4,Salta,46972,99808,39555,5882,7188,199405,33.940639744985226,56.81442605762217,13.759337691497716
2021,4,San Juan,35868,13102,11072,11423,8493,79958,11.05274930815778,39.588851864871685,10.084133235970333
2021,4,San Luis,8472,11064,30,70560,28723,118849,20.90972444801464,80.29578283135379,22.97895624197615
2021,4,Santa Cruz,10790,22902,10031,4346,417,48486,8.990650984477549,43.05121466117346,12.808821353847454
2021,4,Santa Fe,233427,444373,128856,43556,16229,866441,36.024023837275145,77.08920179439227,24.23965799751964
2021,4,Santiago Del Estero,19032,86563,1088,6256,2922,115861,13.84088684951507,47.0459491943867,11.675440470480114
2021,4,Tierra Del Fuego,13317,38148,426,124,342,52357,10.696704944050463,98.40061644865432,29.171007839182543
2021,4,Tucumán,97830,59022,78790,2511,486,238639,45.14812243339947,55.92599102424391,13.852880446424065
2021,3,Buenos Aires,585729,2595485,885613,120228,64554,4251609,56.25755092469591,71.68218940101933,23.96989190399953
2021,3,Capital Federal,142902,1192107,42966,6059,29371,1413405,77.71207106907312,111.27105514250894,45.90038346526859
2021,3,Catamarca,18413,11709,22331,1568,2233,56254,43.43333599763174,52.70979348600128,13.407472376612356
2021,3,Chaco,38258,63659,27583,8018,2353,139871,39.113135809207584,42.96241007967663,11.48213456009956
2021,3,Chubut,49269,55794,8946,23376,18681,156066,8.176860363136605,80.70973847657562,24.738375502880167
2021,3,Córdoba,229275,477223,167495,57617,15178,946788,41.92778724566202,81.2845665540848,24.88595762867568
2021,3,Corrientes,44805,69403,7542,6766,5303,133819,32.16890082785829,44.90088312664412,11.8228555121759
2021,3,Entre Ríos,74443,128752,20485,23500,13195,260375,29.60123187949277,62.17940145385769,18.590565595869126
2021,3,Formosa,18093,14111,4730,15690,171,52795,26.68942678494665,33.962033540684324,8.643582187295351
2021,3,Jujuy,23554,60758,19926,2952,3968,111158,25.980702520297545,55.6892647441935,14.240381868423986
2021,3,La Pampa,9015,57881,17817,14479,1295,100487,12.99161507240359,84.27996309653611,27.767891191051227
2021,3,La Rioja,11329,54744,9444,6613,30,82160,38.86795185445044,77.26016061386845,20.565964530219404
2021,3,Mendoza,91474,71247,70579,21811,828,255939,13.365156173184468,45.54828468056102,12.710228113581037
2021,3,Misiones,43230,89469,10969,7198,7662,158528,30.87871831426499,45.57065365808786,12.411772581325812
2021,3,Neuquén,29650,73794,16455,19270,640,139809,38.34222315428742,69.70653344501615,20.74816202113861
2021,3,Río Negro,47934,44519,18725,15031,18376,144585,25.400065197148727,61.967213114754095,19.05925062746504
2021,3,Salta,49212,98318,36126,5724,6453,195833,31.209681857038827,55.9642780595842,13.55352602212216
2021,3,San Juan,40072,12922,6670,11372,8447,79483,7.041300820394967,39.4554480019856,10.050236642022517
2021,3,San Luis,8417,11884,27,68856,28680,117864,21.69870707116376,79.87043349212911,22.857408818789526
2021,3,Santa Cruz,12347,22961,6328,4269,3071,48976,7.692326941812981,43.74732028012005,13.016254371883871
2021,3,Santa Fe,245929,443156,93412,43447,15640,841584,33.13229624738131,75.01704762728227,23.58815244581783
2021,3,Santiago Del Estero,19939,85535,909,6147,2928,115458,13.352723533519551,47.0,11.660736690891678
2021,3,Tierra Del Fuego,12853,36958,6,16,390,50223,9.52,94.95386825985028,28.150170112829368
2021,3,Tucumán,104489,53868,70964,2408,743,232472,42.10118530571482,54.63604486100796,13.533446775711845
2021,2,Buenos Aires,603255,2503830,854173,113546,57547,4132351,52.75542937003713,70.00330336027972,23.35247372787298
2021,2,Capital Federal,148989,1175097,41318,5580,29371,1400355,72.74675003231476,110.14440203212098,45.48719048129489
2021,2,Catamarca,20305,9426,22331,1449,2233,55744,42.18506376779111,52.34030966263861,13.313748671467298
2021,2,Chaco,39826,62948,27584,8018,2353,140729,37.39690959622207,43.32762729293539,11.580041340539402
2021,2,Chubut,49271,41497,6081,23682,18706,139237,7.67690621713348,72.29410481936469,22.159781771420207
2021,2,Córdoba,239780,467782,151855,55944,15519,930880,39.59011648994794,80.11518795931242,24.528406291253745
2021,2,Corrientes,46648,67262,3731,6557,5303,129501,30.368054802005656,43.5411637336848,11.46506458012956
2021,2,Entre Ríos,77836,124957,17856,23786,13197,257632,27.61897306203556,61.660264464787886,18.435680632917915
